,Unnamed: 0,name,name_qid,found in taxon,found in taxon_qid,part_of,part_of_qid,subclass of,subclass of_qid
18,18,TAC3|COL15A1-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
19,19,LOC100421401-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
20,20,HTR2C-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
21,21,KCNH8-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
22,22,GGH-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
23,23,C18orf42-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
24,24,LRRC63-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
25,25,SLC7A11-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
26,26,PCP4|LINC01583-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
27,27,NPY-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,NXPH1-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
28,28,HPGD-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,SST-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
29,29,NMU-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,SST-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
30,30,LOC100996671-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,SST-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
31,31,SPON1-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,SST-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
32,32,QRFPR-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,SST-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
33,33,SLC9A2-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,SST-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
34,34,LOC101929028-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,SST-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
35,35,ADGRG6-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,SST-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
36,36,EYS-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,SST-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
37,37,TH-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,SST-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
38,38,CPED1-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,PVALB-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
39,39,ANKRD34B-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,PVALB-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
40,40,SPP1-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,PVALB-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
41,41,SLC9A9-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,PVALB-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
42,42,SULF1-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,PVALB-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
43,43,LYPD6-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,PVALB-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
